suomi,italia,epäsäännöllinen
koulu,scuola,
"epäonnistuminen, konkurssi",fallimento,
virhe,errore,
"idea, ajatus",idea,
kurssi,corso,
lukuvuosi,anno scolastico,
ohjelma,programma,
todistus (osallistumistodistus),attestato (di partecipazione),
osallistuminen,partecipazione,
"keksijä, idean äiti",ideatrice,
"opettaja, dosentti",docente,
yliopisto,università,
toiminta (taloudellinen / kaupallinen),attività (economica / commerciale),
"kumppani, osakas",socio,
suhde,relazione,
aviomies,marito,
työ,lavoro,
"yhtiö, yritys",società,
kriisi,crisi,
"pari, parisuhde",coppia,
peli (lautapeli),gioco (da tavolo),
ohjeet,istruzioni,
"vaisto, intuitio",intuito,
"tarkoitus, päämäärä",scopo,
aika,tempo,
urheilija,atleta,
"motto, iskulause",motto,
opetus,insegnamento,
syntyä,nascere,
oppia,imparare,
"erehtyä, tehdä virhe",sbagliare,
kasvaa,crescere,
kestää,durare,
"ehdottaa, tarjota",proporre,x
muodostaa,formare,
saada,ricevere,
tulla (passiiveissa: tulla tehdyksi),venire,x
saavuttaa,raggiungere,x
tulla joksikin,diventare,
aloittaa,iniziare,
rakastaa,amare,
menettää,perdere,
"epäonnistua, mennä konkurssiin",fallire,
"kohdata, selviytyä jostakin",affrontare,
"voittaa, ylittää",superare,
käyttää,utilizzare,
yrittää,cercare (di + infinito),
luottaa (johonkin),fidarsi (di),
"olla suosittelematta, neuvoa olemaan tekemättä",sconsigliare,
saada (joku) ymmärtämään,fare capire (a qualcuno),x
käyttäytyä,comportarsi,
olla tekemäisillään,stare per + infinito,x
"aktivoida, käynnistää",attivare,
"kohdata, joutua tekemisiin jonkin kanssa",confrontarsi (con),
toivoa (tekevänsä jotakin),sperare (di + infinito),
maksuton,gratuito,
"täydellinen, kokonainen",completo,
lupaava,promettente,
"huono, ikävä",brutto,
sama,stesso,
"erilainen, usea",diverso,
"oma / juuri, nimenomaan",proprio,
"vain, yksin",solo,
täydellinen,perfetto,
tehty,fatto,
"päinvastoin, itse asiassa",anzi,
"nimittäin, itse asiassa",infatti,
vaikka,anche se,
kun,quando,
ja,e,
mutta,ma,
kuitenkin,però,
"että, joka",che,
"-n, jostakin",di,
"jollekin, -ssa, -lle",a,
"-sta, jostakin alkaen",da,
"-ssa, -lla",in,
kanssa,con,
ilman,senza,
"päälle, -sta",su,
puoli,mezzo,
jokainen,ogni / ognuno,
jotkut / useat,alcuni / diverse,
vähän,poco,
kaikki,tutto / tutti,
"jokin, muutama",qualche,
"juuri, nimenomaan",proprio,
vain,solo,
enemmän,più,
vähemmän,meno,
parempi ... kuin ...,meglio ... che ...,
alkaen jostakin,a partire da,
on tekemäisillään,sta per,
